bed,bath,acre_lot,zip_code,house_size,location
3.0,2.0,0.12,601,920.0,2351
4.0,2.0,0.08,601,1527.0,2351
2.0,1.0,0.15,795,748.0,2392
4.0,2.0,0.1,731,1800.0,2412
4.0,3.0,0.46,612,2520.0,2423
3.0,1.0,0.2,639,2040.0,2371
3.0,2.0,0.08,731,1050.0,2412
2.0,1.0,0.09,730,1092.0,2412
5.0,3.0,7.46,670,5403.0,2396
3.0,2.0,13.39,662,1106.0,2390
3.0,2.0,0.08,795,1045.0,2392
3.0,2.0,0.1,669,4161.0,2395
5.0,2.0,0.12,641,1620.0,2429
5.0,5.0,0.74,731,2677.0,2412
3.0,2.0,0.08,698,1100.0,2435
4.0,4.0,0.22,680,3450.0,2403
3.0,2.0,0.08,728,1500.0,2412
3.0,2.0,3.88,685,4000.0,2423
6.0,3.0,0.25,610,1230.0,2356
2.0,1.0,0.23,698,621.0,2435
6.0,3.0,0.1,676,3000.0,2404
3.0,1.0,2.0,769,1213.0,2373
3.0,2.0,0.05,698,1118.0,2435
3.0,2.0,0.28,685,1500.0,2423
4.0,3.0,0.3,730,3000.0,2412
4.0,2.0,0.11,656,1300.0,2383
4.0,2.0,0.04,676,1080.0,2400
3.0,2.0,0.69,662,2505.0,2390
6.0,3.0,1.75,766,1943.0,2433
5.0,4.0,0.12,717,1600.0,2412
4.0,2.0,3.08,757,2886.0,2424
1.0,1.0,0.1,730,850.0,2412
3.0,1.0,0.23,698,936.0,2435
3.0,2.0,1.13,676,1928.0,2404
4.0,4.0,4.84,685,3690.0,2423
3.0,4.0,1.94,641,2500.0,2429
4.0,2.0,0.24,670,1800.0,2396
9.0,7.0,0.46,680,3709.0,2403
5.0,3.0,0.16,730,3100.0,2412
6.0,6.0,0.94,624,9297.0,2411
3.0,2.0,0.1,602,600.0,2352
3.0,1.0,0.09,602,900.0,2352
4.0,2.0,0.15,602,3000.0,2352
1.0,1.0,0.26,602,2100.0,2352
2.0,2.0,0.24,602,1138.0,2352
3.0,2.0,0.13,602,1380.0,2352
6.0,4.0,0.23,602,2500.0,2352
2.0,1.0,0.07,602,813.0,2352
5.0,3.0,1.78,602,2962.0,2352
4.0,2.0,0.1,602,1955.0,2352
3.0,2.0,0.08,602,1200.0,2352
6.0,5.0,0.12,602,6000.0,2352
3.0,4.0,2.0,602,1880.0,2352
3.0,2.0,2.96,602,2500.0,2352
7.0,5.0,0.31,602,2775.0,2352
5.0,3.0,8.74,602,5517.0,2352
6.0,5.0,0.1,602,2400.0,2352
3.0,2.0,0.22,603,2070.0,2353
3.0,2.0,0.05,603,1184.0,2353
3.0,2.0,0.22,603,1900.0,2353
3.0,1.0,0.2,603,980.0,2353
4.0,2.0,0.89,603,1408.0,2353
5.0,5.0,0.62,603,8460.0,2353
3.0,2.0,0.11,603,1116.0,2353
4.0,3.0,0.26,603,3734.0,2353
3.0,2.0,0.17,603,1500.0,2353
6.0,3.0,0.49,603,2618.0,2353
4.0,2.0,0.12,603,1760.0,2353
4.0,3.0,0.33,603,2950.0,2353
3.0,2.0,0.21,603,1565.0,2352
4.0,2.0,0.95,603,3468.0,2353
4.0,2.0,10.76,603,547.0,2353
3.0,2.0,0.15,603,2280.0,2353
3.0,4.0,0.2,603,4020.0,2353
6.0,2.0,0.18,603,2035.0,2353
5.0,3.0,0.52,603,3267.0,2353
8.0,3.0,0.19,603,3700.0,2353
5.0,2.0,4.55,606,2156.0,2401
5.0,2.0,5.14,606,2156.0,2401
5.0,2.0,4.86,606,1563.0,2401
3.0,1.0,0.35,606,915.0,2401
8.0,5.0,0.09,660,2000.0,2388
2.0,2.0,0.15,653,1393.0,2381
3.0,2.0,1.75,623,1620.0,2363
